Name,Location,Coords,Trails (view details),Total Distance,State Ranking,Access Road/Trail,White,Green,Blue,Black,Double Black Diamond,Proline
Painted Hills,"near Greybull, WY","(44.502240, -107.725990)",8,37 miles,"#6,332",3,0,2,3,0,0,0
Pilot Hill/The Schoolyard,"near Laramie, WY","(41.322270, -105.526360)",37,41 miles,"#1,196",4,1,10,17,1,1,0
Platte River Wilderness,NA,NA,5,31 miles,"#5,781",0,0,0,0,0,0,0
Popo Agie Wilderness,NA,NA,22,111 miles,"#10,556",0,0,0,0,0,0,0
Red Butte,"near Gillette, WY","(44.305910, -105.519930)",4,4 miles,"#3,460",0,0,3,1,0,0,0
Red Grade Trails,"near Sheridan, WY","(44.626500, -107.083070)",12,10 miles,"#1,487",1,0,4,7,0,0,0
Rio Oso,"near Evanston, WY","(41.256660, -110.922470)",19,13 miles,"#1,650",3,0,10,5,1,0,0
Serenity Trail,"near Newcastle, WY",NA,0,NA,"#7,079",0,0,0,0,0,0,0
Sheep Mountain,"near Centennial, WY","(41.177700, -106.035800)",2,16 miles,"#4,931",0,0,0,1,1,0,0
Shell Canyon,"near Greybull, WY","(44.566640, -107.571520)",4,13 miles,"#2,567",2,0,0,1,1,0,0
Shoshone National Forest,"near Cody, WY","(44.941900, -109.535740)",94,340 miles,"#4,161",12,0,0,46,2,0,0
Sinks Canyon,"near Lander, WY","(42.723610, -108.879420)",41,92 miles,"#1,823",9,0,4,6,12,7,0
Skyline Nordic Trails,"near Pinedale, WY","(42.973310, -109.752270)",9,8 miles,"#2,881",2,0,1,4,2,0,0
Snake River Range,"near Wilson, WY","(43.430720, -110.918570)",8,22 miles,"#5,108",5,0,0,2,1,0,0
Snow King Mountain,"near Jackson, WY","(43.472750, -110.760950)",61,92 miles,#583,10,0,10,28,5,0,0
Snowies,"near Centennial, WY","(41.338480, -106.322860)",27,73 miles,"#3,839",1,0,1,12,9,2,0
Snowy Range Ski Area,"near Centennial, WY","(41.344920, -106.180660)",1,"3,737 ft","#10,223",0,0,0,0,0,0,0
Soldier Ridge Trail System,"near Sheridan, WY","(44.803750, -106.997110)",9,13 miles,"#4,419",1,0,6,2,0,0,0
Squaw Creek,"near Casper, WY","(42.791149, -106.391371)",8,6 miles,"#4,341",1,0,3,4,0,0,0
Teton Pass,"near Wilson, WY","(43.507440, -110.926770)",22,54 miles,#801,3,0,1,8,4,2,0
Teton Wilderness Area,NA,NA,58,438 miles,"#8,131",0,0,0,0,0,0,0
Two Ocean Lake,"near Moose, WY","(43.898230, -110.561130)",13,29 miles,"#8,477",0,0,0,0,0,0,0
Upper Skyline,"near Pinedale, WY","(43.004100, -109.751680)",12,25 miles,"#3,476",2,0,0,10,1,0,0
Vedauwoo / Blair,"near Laramie, WY","(41.156501, -105.379794)",27,26 miles,"#2,604",5,0,4,13,5,0,0
Washakie Wilderness Area,"near Cody, WY","(44.162460, -109.615880)",16,130 miles,"#5,895",0,0,0,0,0,0,0
Western Wyoming Community College,"near Rock Springs, WY","(41.592330, -109.240620)",2,3 miles,"#7,899",0,0,2,0,0,0,0
White Mountain,"near Green River, WY","(41.564400, -109.458740)",3,10 miles,"#2,406",0,0,0,3,0,0,0
White Mountain Contour Trails,"near Rock Springs, WY","(41.604900, -109.288340)",2,1 mile,"#4,542",0,0,1,1,0,0,0
Wilkins Peak Trails,"near Green River, WY","(41.493220, -109.429310)",29,33 miles,"#2,394",0,0,10,9,10,0,0
Willow Creek,"near Lander, WY","(42.489140, -108.828690)",10,9 miles,"#3,900",2,0,5,4,4,0,0
Yellowstone - Canyon Region,NA,NA,27,82 miles,"#2,490",0,0,0,0,0,0,0
Yellowstone - Central Region,"near Mammoth, WY","(44.832000, -110.146650)",20,130 miles,"#5,663",0,0,0,0,0,0,0
Yellowstone - Lake Area,NA,NA,14,42 miles,"#4,754",0,0,0,0,0,0,0
Yellowstone - Northeast Region,"near Mammoth, WY","(44.899140, -110.123120)",20,76 miles,"#5,996",0,0,0,0,0,0,0
Yellowstone - Northwest Region,NA,NA,122,312 miles,"#3,825",28,0,2,4,0,0,0
Yellowstone - Old Faithful Region,NA,NA,50,102 miles,"#4,249",1,4,2,0,0,0,0
Yellowstone - Southeast / Thorofare,NA,NA,52,188 miles,"#6,106",0,0,0,0,0,0,0
Yellowstone - Southwest / Bechler Region,NA,NA,21,76 miles,"#5,940",0,0,0,0,0,0,0
Yellowstone - Southwest Region,NA,NA,19,77 miles,"#5,303",0,0,0,0,0,0,0
